질문_1,질문_3,index,질문_3_replace
도배지 무늬의 패턴이 이어지지 않아,도배지 무늬의 패턴이 어긋나서 일관성이 없어요.,367,도배지 무늬가 일치하지 않을 때 어떻게 해야 해?
도배지에 얼룩이 있어,도배지에 오염이 있어요.,368,도배지가 얼룩이 났을 때 어떻게 해야 해?
높은 습도로 인해 도배지에 녹이 묻어나올 수 있어?,습도가 높으면 도배지에 녹이 생길 수 있습니다.,369,습도가 높으면 도배지에 녹이 생길 수 있어?
공간 내 높은습도로 인해 도배지에 얼룩이 발생할 수 있어?,도배지에는 고습으로 인한 얼룩이 생길 수 있습니다.,371,습도가 높은 공간에서는 도배지에 얼룩이 생길 수 있어?
부적절한 접착제를 사용하면 도배지꼬임이 발생할 수 있어?,부적절한 접착제 사용으로 인해 도배지에 주름이 생길 수 있습니다.,372,부적절한 접착제 사용시 도배지가 꼬일 수 있어?
내외부 온도차가 클 경우 도배지 끝부분이 들뜰 수 있어?,내외부 온도차가 크면 도배지 끝부분이 들뜰 수 있습니다.,375,도배지 끝부분이 들뜰 수 있는 원인은 내외부 온도차이일 수 있어?
도배지를 너무 작게 자르면 도배지와 몰딩면에 틈새가 생길 수 있어?,도배지를 너무 작게 잘라도 도배지와 몰딩면 사이에 틈새가 생길 수 있습니다.,377,도배지를 작게 자르면 틈새가 생길 수 있어?
높은 습도로 인해 도배지 끝부분이 들뜰 수 있어?,습도가 높으면 도배지의 끝부분이 들뜰 수 있다.,378,습도가 높으면 도배지의 끝부분이 부풀어 올라갈 수 있어?
도배지에 녹이 묻어나와,도배지에는 녹이 생겨났다.,380,녹 자국이 도배지에 나타났을 때 어떻게 해야 해?
내외부 온도의 큰 차이에 의해 곰팡이가 발생할 수 있어?,곰팡이는 내외부 온도의 큰 차이로 인해 생길 수 있다.,382,외부와 내부 온도의 큰 차이로 인해 곰팡이가 생길 수 있어?
도배지에 곰팡이가 폈어,도배지에는 곰팡이가 번식해있다.,385,도배지가 곰팡이에 감염되었을 때 어떻게 해야 하나요?
높은 습도로 인해 도배지 패턴이 이어지지 않을 수 있어?,습도가 높을 경우 도배지 패턴이 연속되지 않을 수 있습니다.,387,습도가 높으면 도배지 패턴이 연결되지 않을 수 있어?
건조시간이 부족하면 도배지 꼬임이 발생할 수 있어?,도배지가 충분히 건조되지 않으면 꼬임이 발생할 수 있습니다.,388,도배지가 꼬일 수 있는 원인 중 하나가 건조시간이 부족할 때 일까?
도배지에 반점이 생겼어,도배지 위에 반점이 생겼습니다.,389,도배지에 반점이 생겼을 때 어떻게 해야 하나요?
수성 벽체용 탄성 방수 도료의 장점이 뭐야?,수성 벽체용 탄성 방수 도료의 장점이 뭐냐면 높은 탄성과 방수 기능을 가지고 있어요.,391,수성 벽체용 탄성 방수 도료는 어떤 이점이 있나요?
왜 초배지만 남은 벽에는 페인트를 못 칠해?,"벽에는 페인트를 칠할 수 있는 초청지만, 남은 벽에는 페인트를 칠할 수 없습니다.",394,벽이 이미 초배지로 처리되어 있으면 추가 페인트를 칠할 수 없어?
페인팅이 불가능한 벽은 뭐가 있어?,어떤 벽은 페인팅이 불가능하다.,403,어떤 벽에는 페인팅이 불가능할까?
외단열 시공이 내단열 시공에 비해 갖는 장점이 뭐야?,외단열 시공은 내단열 시공보다 장점이 있다.,424,외단열 시공은 내단열 시공보다 어떤 장점을 가지고 있어?
실크벽지 위에는 왜 도배할 수 없어?,실크벽지는 도배가 불가능하다.,468,실크벽지는 도배할 수 없는 재질이야?
방음공사 할 경우 보통 차음재와 흡음재는 각각 어디에 넣어,보통 방음공사에서는 차음재와 흡음재를 각각 어떤 곳에 넣을지 결정합니다.,470,차음재와 흡음재를 설치할 때는 어디에 각각 넣어야 하는지 알려줄 수 있나요?
내단열 시공에 비해 외단열 시공이 갖는 단점이 뭐야?,외단열 시공은 내단열 시공에 비해 단점이 있습니다.,477,외단열 시공은 내단열 시공보다 무엇이 단점인가?
초배작업은 필수야?,초배작업은 반드시 해야 한다.,500,초배작업이 반드시 필요한가요?
샹들리에에 대해 설명해줘,샹들리에에 대해서 간결하고 명확하게 설명해줄 수 있었으면 좋겠어요.,524,샹들리에에 대해 간단히 설명해줄래?
인테리어에서 가구 배치를 고려할 때 공간 활용의 핵심은 무엇인가요?,가구를 배치할 때 가장 중요한 것은 공간 활용입니다.,534,가구 배치에서 공간 활용의 핵심을 설명해줄래?
내 작은 주방을 활용한 인테리어 아이디어가 필요해요.,작은 주방의 인테리어 아이디어가 필요합니다.,544,작은 주방을 효율적으로 꾸미는 아이디어를 알려줄래?
인테리어에 사용되는 바닥재 중에서 유리바닥과 목재바닥 중 어떤 것이 더 좋은가요?,어디가 더 좋은지 정확하게 말하면 목재바닥이 유리바닥보다 더 좋습니다.,553,유리바닥과 목재바닥 중 어떤 것이 인테리어에 더 적합한지 알려줄 수 있나요?
스포트라이트에 대해 설명해줘,스포트라이트는 대상에 집중하여 주목을 받게 하는 조명 도구이다.,565,스포트라이트란 무엇인가?
어떻게 색상 심리를 활용하여 공간의 분위기를 조절할 수 있을까요?,공간의 분위기를 조절하는 방법 중 하나는 색상 심리를 활용하는 것입니다.,575,색상 심리를 활용해 공간 분위기를 조절하는 방법에 대해 알려줄 수 있나요?
벽면에 그림이나 포스터를 걸 때 주의할 점은 무엇인가요?,주의할 점은 벽면에 그림이나 포스터를 걸 때는 조심해야 한다.,584,벽에 그림이나 포스터를 걸 때 주의할 점을 알려줄 수 있나요?
고풍스러운 스타일을 위한 인테리어 아이디어가 필요해요.,고풍스러운 스타일 인테리어 아이디어가 필요합니다.,600,고풍한 스타일의 인테리어 아이디어를 알려줄 수 있나요?
"AD, PD에 면한 벽체 결로의 원인이 뭐야?","벽체 결로의 원인은 AD, PD 입니다.",640,"AD, PD에 면한 벽체 결로의 원인은 무엇인가요?"
