질문_2,질문_4,index,질문_4_replace
내외부 온도차가 클 경우 도배지의 끝부분이 울퉁불퉁해지는 현상이 일어날 수 있나요?,도배지의 끝부분이 울퉁불퉁해지는 현상은 내외부 온도차가 클 때 일어날 수 있다.,375,도배지의 끝부분이 내외부 온도차로 인해 울퉁불퉁해지는 현상이 발생할 수 있어?
도배지를 너무 작게 자르면 도배지와 몰딩면에 틈새가 생길 수도 있을까요?,"도배지를 너무 작게 자를 경우, 도배지와 몰딩면 사이에 간격이 생길 수도 있다.",377,도배지를 너무 작게 자르면 도배지와 몰딩면 사이에 간격이 발생할 수 있어?
내외부 온도의 큰 차이로 인해 곰팡이가 발생할 가능성이 높은가요?,대기 온도의 큰 차이로 인해 곰팡이 발생 가능성이 증가합니다.,382,내부와 외부 온도의 차이로 곰팡이 발생 가능성이 높아질까요?
초배만 남은 벽에 페인트를 칠할 수 없는 이유가 뭘까요?,벽에 페인트를 칠할 수 없는 이유는 초배가 남아있기 때문입니다.,394,벽에 페인트를 칠할 때 초배만 남은 부분은 왜 칠하지 않는 걸까요?
누수공사 업체에서 장판 마감 작업을 제공하는 것이 일반적인가요?,일반적으로 누수공사 업체는 장판 마감 작업을 제공합니다.,395,누수공사 업체들이 장판 마감 작업을 제공하는 것이 흔한가요?
페인팅이 불가능한 벽의 예시는 어떤 것들이 있을까요?,어떤 벽은 페인팅이 불가능하다.,403,어떤 벽에 페인팅할 수 없나요?
속건형 유성 발수제를 사용하는 것이 어떤 장점이 있는지 알려주세요.,속건형 유성 발수제의 사용 장점을 알려드리겠습니다.,406,속건형 유성 발수제를 사용하면 어떤 이점이 있는지 알려줄래요?
벽지에서 크랙이 발생했을 때 즉시 처리해야 하는 방법은 무엇인가요?,"쉽게 말해, 벽지에 크랙이 생기면 바로 처리해야 한다.",413,벽지에 크랙이 생겼을 때 무엇부터 해야하는지 알려줄 수 있어?
배관공사에 사용되는 소제구는 무엇인가요?,소제구란 배관공사 시에 사용되는 재료를 의미합니다.,416,배관공사에 쓰이는 소제구는 무엇인지 알려줄 수 있나요?
배관공사의 통기구는 무엇을 의미하나요?,통기구는 배관공사의 일부분을 의미합니다.,417,배관공사의 통기구는 무엇인가요?
방청도료 도장 작업 방법에 대해 좀 더 자세히 알고 싶습니다.,방청도료 도장 작업 방법에 대한 자세한 정보를 요청합니다.,418,방청도료 도장 작업에 대해 자세한 방법을 알려줄 수 있어?
장롱을 옮길 때 주의할 점에 대해 알려주세요.,장롱을 옮길 때 주의할 사항들을 알려드릴게요.,438,장롱을 옮길 때 주의해야 할 사항을 알려줄 수 있나요?
도배풀 제거제는 어떤 상점이나 온라인 쇼핑 사이트에서 구매할 수 있을까요?,도배풀 제거제는 상점이나 온라인 쇼핑 사이트에서 구매할 수 있어요.,453,도배풀 제거제는 어디서 구입할 수 있을까요?
배관공사에 소제구를 설치하는 것이 꼭 필요한 경우는 언제인가요?,배관공사에 소제구를 설치하는 경우는 언제냐면 반드시 필요한 상황입니다.,461,배관공사 중에 언제 소제구를 설치해야 하는지 알려줄 수 있어?
배관공사 시에 통기구를 꼭 설치해야 하는 이유가 무엇인가요?,통기구는 배관공사 시에 필요한 이유가 있습니다.,464,"통기구는 배관공사 시 필수적으로 설치해야 하는데, 그 이유는 무엇인가요?"
외단열 시공이 내단열 시공보다 안좋은 점이 뭐야?,외단열 시공은 내단열 시공보다 더 좋지 않다는 점은 무엇인가요.,477,외단열 시공과 내단열 시공 중 외단열 시공의 단점을 알려줄 수 있어?
"벽에 구멍을 막는데 사용할 수 있는 다양한 방법이 있는데, 어떤 방법이 가장 효과적일까요?",가장 효과적인 방법으로 벽에 구멍을 막는 여러 가지 방법이 있다.,490,어떤 방법이 벽에 구멍을 막는 데 가장 효과적일까요?
낮은 천장을 가진 공간을 더 높아 보이게 하는데 가장 효과적인 방법은 무엇인가요?,가장 효과적인 방법은 낮은 천장을 더 높아 보이게 하는 것이다.,538,천장이 낮은 공간을 높아 보이게 하는 가장 효율적인 방법을 알려줄 수 있나요?
오픈 플랜으로 구성된 주방과 거실을 효과적으로 구분하는 방법에는 어떤 것들이 있을까요?,주방과 거실을 효과적으로 구분하기 위해 오픈 플랜을 활용한다.,554,오픈 플랜으로 짜여진 주방과 거실을 구분하는 효과적인 방법을 설명해 주실 수 있나요?
